"Q1: Respondent","Q2: What kind of singing do you do? Tick all that apply","Q3: What kinds of folk singing events do you attend? Tick all that apply - Selected Choice","Q4: What kinds of folk singing events do you attend? Tick all that apply - Other, please describe - Text","Q5: How many times have you been folk singing in the last four weeks?","Q6: How old were you when you first took part in a folk singing event?","Q7: Why did you choose to start folk singing?","Microphone","Standing","Instrument","Word","Q12: Please describe your ideal folk singing environment.","Q13: How well do you think you sing when you take part in a folk singing event? 
0 = I sing very badly  
10 = I sing excellently.","Q14: How important to you is it that other people are good singers at folk singing events?","Q15: How accepted do you feel when you sing at a folk singing event?","Q16: What kind of relationships do you have with people you have met at folk singing events? Please tick all that apply - Selected Choice","Q17: What kind of relationships do you have with people you have met at folk singing events? Please tick all that apply - Other, please describe - Text","Q18: What other types of music events do you take part in? Please tick all that apply - Selected Choice","Q19: What other types of music events do you take part in? Please tick all that apply - Other, please describe - Text","Q22: For how long did you / have you organised folk singing events?","Q23: Have you organised non-folk music events as well? - Selected Choice","Q24: Have you organised non-folk music events as well? - Yes, please describe - Text","Q25: What motivates you to organise folk singing events?","Q26: Have you ever actively tried to reach people who may not normally attend folk singing events?","Q27: Please describe what you did and what impacts (if any) these actions had","Q28: Have you ever actively tried to improve accessibility to your events? By â€œaccessibilityâ€, we mean removing barriers that might prevent disabled people from attending an event.","Q29: Please describe how you tried to improve accessibility to your events and what impacts (if any) these actions had","Q30: Which factors are important to you when you choose to sing a particular folk song? Please tick all that apply. - Selected Choice","Q31: Which factors are important to you when you choose to sing a particular folk song? Please tick all that apply. - Other, please describe - Text","Q32: You selected that the song's content connects you to a specific place. Please describe the place.","Q33: You selected that you like to sing about a particular topic. Please describe the topic.","Q34: You selected that the song's origin interests you. Please describe the types of origins that interest you.","Q35: You selected that you connect with the song's political message. Please describe the political message that you connect with.","Q36: Would you like to tell us anything about why you choose to sing particular songs?","Q37: Have you ever heard a song at a folk singing event that you felt was inappropriate?","Inappropriate","Q39: Did you raise this with anyone at the event?","Impact","Q41: Have you ever experienced any barriers to participating in a folk singing event? For example, something relating to mental or physical health that could not be accommodated, or feeling unwelcome due to your age, gender, sexuality or ethnicity?","Barrier","Q43: Are you aware of any attempts by the organisers of folk singing events you have attended to be more inclusive or increase accessibility to the event?","Q44: Please describe what you noticed the organiser did to be more inclusive or increase accessibility to the event.","Q45: Is there anything else you would like to tell us about your experiences relating to folk singing in England - in particular about community, identity or inclusion - that has not been covered in this survey?","Q46: We have shared this survey as widely as we can but due to the ever-changing nature of the folk scene and new kinds of events, we know we will have missed some. Are there any folk events that you think we might not know about?","Q52: What is the highest educational qualification you have obtained? - Selected Choice","Q53: What is the highest educational qualification you have obtained? - Other, please describe - Text","Q54: Which social class do you most identify with? - Selected Choice","Q55: Which social class do you most identify with? - Other, please describe - Text","Q56: Do you live in the United Kingdom?","Q57: Please provide the first part of your postcode, e.g., S35 or BD22. (This question is important for understanding the distribution of our respondents. Respondents cannot be identified from their postcode data. You will not be identified, contacted or added to any mailing lists.) - Postcode","Q58: What is your country of residence?","Q59: How would you describe your national identity? - Selected Choice","Q60: How would you describe your national identity? - Other, please describe - Text","Q67: What is your religion, if any? - Selected Choice","Q68: What is your religion, if any? - Other Christian denomination, please describe - Text","Q69: What is your religion, if any? - Any other religion, please describe - Text","Q70: Are you currently practising this religion?","PoliticalParty","Q73: If there was a general election tomorrow, which political party would you be most likely to support? - Other, please state - Text","Political","Organiser","Ethnicity","Gender","Disability","Sexuality","Age","AgeCategorical"
"Respondent 773","Perform professionally/semi-professionally,Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Open mic nights",NA,"3-5","51","I always wanted to sing, but other genres didn't really suit me.","Don't mind","Don't mind","With instruments","Without a score / words","Anywhere will do, but a massive paid gig would be ideal!","8","Neutral","Somewhat accepted","Friendships",NA,"Audience at rock/pop gigs,Audience at classical concerts,Go to workshops / take private lessons,5",NA,"1 to 5 years","No",NA,"Keeping the local singers and musicians engaged.","No",NA,"No",NA,"Other, please describe","I choose traditional songs the way I choose songs with an identified writer: they must be emotionally resonant. Very occasionally a song will choose me and I won't be able to shake it off.",NA,NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,"Yes","Choice of venue for accessibility.","Events are usually welcoming of all as far as I can tell. However, participants are often 50+ and white.",NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Middle class",NA,"Yes","TR19",NA,"English",NA,"Buddhist",NA,NA,"Yes","Other, please state","Anybody but the Tories","9","Volunteer","White UK","Male","No","Bisexual",62,"61-80+"
"Respondent 774","Sing choruses","Folk clubs,Concerts,Folk festivals",NA,"0","18","The â€˜folkâ€™ revival was in full swing when I started attending folk clubs (usually in pubs in those days) during the 1970s","Don't mind","Don't mind","Don't mind","A mixture","With a group of like minded people","6","Neutral","Neutral","Friendships",NA,"Audience at rock/pop gigs,Audience at electronic music / DJ sets,Audience at non-folk festivals,5",NA,"5 to 10 years","Yes, please describe","Guitarists","Charity work and I get to see the people that I admire","Yes","Advertising in local and national media","Yes","Ensuring that the venue was accessible (it is over 700 years old) offering free access to carers and suitable nearby car parking","You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects you to a specific place",NA,"Cropredy in Oxfordshire. I lived there and had a massive folk festival on my doorstep!",NA,"Usually either songs of the sea or pastoral songs",NA,"â€œThe Shepherd of the Downsâ€ is a good example of the pastoral sort of song that I like.
â€œHares in the Old Plantationâ€ reminds me of the village of Cropredy (the village green is called The Plantation)","No",NA,NA,NA,"No",NA,"No",NA,"I was once, and only once, made to feel unwelcome at a folk festival, not a huge one, because I had my dog with me.
Old men (thatâ€™s me now) wearing lurid patchwork outfits carrying pewter tankards always make me feel uneasyâ€¦.","I assume that you have contacted as many folk clubs as possible?","A level or equivalent (e.g., AS level; Highers; International Baccalaureate diploma; access to higher education diploma)",NA,"Working class",NA,"Yes","TQ13",NA,"English",NA,"No religion",NA,NA,NA,"Green Party",NA,"9","Volunteer","White Other","Male","No","Heterosexual/Straight",65,"61-80+"
"Respondent 775","Lead songs,Sing choruses","Other traditional community singing (like carol singing),Folk choir",NA,"3-5","53","I wanted to sing in a choir other than classical choral singing and community choirs. I was open to try something different.","Don't mind","Don't mind","A mixture","With a score / words","I am a relative newbie to folk singing, so very difficult to comment, as only experienced folk choir.","8","Somewhat important","Very accepted","Friendships",NA,"Audience at rock/pop gigs,Audience at classical concerts,Audience at non-folk festivals,Sing in a classical choir,Sing in a religious group,Sing at sporting events,Go to workshops / take private lessons",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,It is similar to songs other people sing at the events you attend,The song's origin interests you,The song's content connects with your personal experience,The song's content connects you to a specific place,Other, please describe","As I have only recently joined a folk choir, my choice of songs is dicated by choir leader. I don't know that many folk songs, apart from one's I sang at primary school, related to the area in which I live.","The sea",NA,"Anything of local interest. The sea, shipbuilding, mining and the story of the people who worked in these industries.",NA,"They are relevant to the area in which I grew up.","Don't know",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Working class",NA,"Yes","NE27",NA,"British",NA,"Other Christian denomination, please describe","Baptist",NA,"Yes","Green Party",NA,"6","Non-organiser","White UK","Female","No","Heterosexual/Straight",55,"41-60"
"Respondent 776","Perform professionally/semi-professionally,Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals",NA,"1-2","12","Grew up with folk music as my parents had a big record collection. Learned folk songs at school and church so itâ€™s a lifelong passion","Don't mind","Don't mind","A mixture","Without a score / words","Itâ€™s difficult to prioritise one ideal set up. I like going to regular sessions where I can reliably see friends and acquaintances, where thereâ€™s a shared etiquette of turn taking, and mutual respect about that towards the person leading the number. 
I also like performing at folk clubs and concerts with or without PA, solo or with others.","10","Neutral","Very accepted","Friendships,Long-term relationships (like marriage, civil partnerships, co-habiting)",NA,"Audience at non-folk festivals,Go to workshops / take private lessons,Other, please describe,5","I teach singing privately","Over 20 years","No",NA,"Because of my passion for traditional music and my belief that singing and music generally are good for human health and happiness","Yes","Use of social media and via friends and colleagues who are not part of the folk scene","Yes","1: choose venue that is physically accessible in the first place. Variable success on this because budget limits me to pubs and other places for free or low cost
2. Work with venue owners/managers to address easy changes that can improve access ( eg furniture arrangements, being flexible Again thereâ€™s variable success as it depends on whatâ€™s possible and who is willing 
3. Make sure that event publicity has honest accurate access information so people can make choices about attending or not. This is a bottom line for me so itâ€™s 100% successful!","You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects you to a political message,Other, please describe","It suits my vocal range and style",NA,"Womenâ€™s lives","I like to sing songs from known origins such as collectorâ€™s records","Gender, poverty, race, peace, workers rights, environmental","Itâ€™s usually a combination of the factors Iâ€™ve listed. But I also think about context. I will choose songs for my performance repertoire that suit my voice and instruments, genre etc. I may choose different songs for sing arounds and sessions because theyâ€™re easy for people to pick up and join in quickly.","Yes","Sexist or racist lyrics. Subtly disguised â€œdog whistle â€œ for the minority who use folk for English nationalism. Eg I attend American old time sessions and songs with racist connotations from the blackface minstrel era are sometimes sung without context/acknowledgment/ updating ( Camptown races, older versions of Cumberland gap).","Yes","None. I have a good network of musicians who share similar values and we support each other so I did not feel personally troubled about challenging the issue with organisers.","Yes","Gender issues in some sessions when I first restarted doing music some years ago (2008 ish). I attended folk clubs and experienced some mansplaining about my instruments ( banjo and dulcimer). Also had comments that my choice of songs was too much of a minority interest.","Yes","Publicity and networking via social media shows that some promoters and organisers are taking inclusion seriously and are part of that work. Eg festivals making sure that the programme isnâ€™t all male all white. Promoters seeking advice on inclusion too especially around disability, LGBTQ, neurodivergence etc","I think the English folk scene continues to experience tension between wanting to stick to â€œtradition â€œ( when this could be its own death) and the drivers to evolve. Iâ€™m most drawn to sessions, gigs, festivals where a broader interpretation of â€œfolkâ€ is used to embrace a wider range of cultures and experiences, sharing and learning together and where English folk just has its place in that range. This can only happen when thereâ€™s dialogue about decolonisation and the uncomfortable past.",NA,"Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Middle class",NA,"Yes","S7",NA,"English",NA,"Any other religion, please describe",NA,"Pagan","Yes","Green Party",NA,"7","Volunteer","White UK","Female","Yes","Bisexual",61,"61-80+"
"Respondent 777","Sing choruses","Folk clubs,Concerts,Other, please describe","Historical re-enactment events","0","10","Campfire activity.","Without a PA / microphone","From my seat / standing as part of a group","A mixture","Without a score / words","In a pub or around a campfire with friends.","5","Neutral","Somewhat accepted","Friendships",NA,"Audience at rock/pop gigs,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,It is similar to songs other people sing at the events you attend,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects you to the past",NA,NA,NA,"I enjoy early military songs.",NA,"I like a wider range of songs , from slow ballads to music hall songs.","Yes","It had Nazi connotations.","No","Non.","No",NA,NA,NA,"No",NA,"A level or equivalent (e.g., AS level; Highers; International Baccalaureate diploma; access to higher education diploma)",NA,"Working class",NA,"Yes","GU7",NA,"English",NA,"No religion",NA,NA,NA,"Labour Party",NA,"7","Non-organiser","White UK","Male","No","Heterosexual/Straight",65,"61-80+"
"Respondent 778","Perform professionally/semi-professionally","Folk clubs,Concerts,Singarounds,Folk festivals,Open mic nights",NA,"6-10","25","After leaving playing in a semi-professional blues band with hearing loss!","Without a PA / microphone","Don't mind","With instruments","With a score / words","A small folk club or a round the table session in a pub","8","Somewhat important","Very accepted","Friendships",NA,"Audience at classical concerts,5",NA,"Under 1 year","No",NA,"Playing in a trio we wish to share what we do - we love playing and it's not about money. Personally my focus is playing an instrument and occasionally I sing.","Yes","I promote events we're involved in as a trio on social media and word of mouth. Audiences are rarely big but promotion is not where we put our energy into, so no surprise there.","No",NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content connects you to a specific place,Other, please describe","Songs that we select to perform are often those we've heard artists we admire perform or stuff we simply stumble across. Americana happens to be what we tend to delve into as two of my trio are US born and it's material that particularly attracts me.","Most of the songs we select as a trio tell a story - for example we perform Darrell Scott's You'll Never Leave Harlan Alive. It is based on Scott's family history in the coal mining world of Harlan County. We like the words, we like the melody, it's feel.",NA,"It's difficult being specific - human stories that feel authentic and real, not glossy and manufactured. I started my musical life as an electric blues guitarist and since 2012 have been mostly playing mandolin, fiddle tunes and backing others who sing. I find commercial pop music has all but disappeared from my radar!",NA,"First, because they appeal or move me, and secondly because I feel I can do them justice. I would never select something that I'd ruin due to my limitations. I also have a small number of songs that I've written myself, although now I restrict myself to creating fiddle tunes, these songs I do feel confident in performing as they take particular account of my limitations!","No",NA,NA,NA,"No",NA,NA,NA,"I'm 76 years old and I started attending and performing in folk clubs fairly late, but when I did start I found the clubs more open to a variety of styles, and that I appreciated. For example the electric blues band I played with was invited to play acoustic sets and even low volume electric sets in a number of folk clubs and in the Club Tent several times at Cambridge Folk Festival. Folk clubs, in my experience, welcome a diverse range of performers from different ethnic backgrounds and musical traditions / genres, but on the whole clubs are mostly a fairly narrow slice of the population, and mostly white. Perhaps folk clubs have a particular image. Clubs of course vary but there's probably a stereotypical image in the minds of those who do not venture into one. As for folk sessions / sing arounds in pubs - the standard is variable and if not high, it could put some off. But, personally I think these sessions are so important in terms of community, friendship and well being. Seeing people have a go is wonderful - it's about sharing and the finding pleasure in making music, however raw.","When the Newnham Croft Social Club in Cambridge opened up again after the Covid pandemic, The String Section, the transatlantic style trio I play with was invited to run a monthly session at the club. We always invite a guest and each act gets to play around 15 songs / tunes. It's still going strong and although not large, the audience is always highly appreciative. It's still going strong and we have all the sessions organised up to Christmas. We'll the move on from there with a fresh programme.","Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Middle class",NA,"Yes","CB1",NA,"British",NA,"No religion",NA,NA,NA,"Liberal Democrats",NA,"9","Volunteer","White UK","Male","Yes","Heterosexual/Straight",76,"61-80+"
"Respondent 779","Lead songs,Sing choruses","Folk clubs,Concerts,Singarounds,Folk festivals,Other traditional community singing (like carol singing),Other, please describe","Sessions after Morris dancing","10+","16","Attended folk clubs, enjoyed the chorus singing and decided to become more involved","Without a PA / microphone","Don't mind","Without instruments","A mixture","With friends","8","Neutral","Very accepted","Friendships",NA,"Audience at rock/pop gigs,Audience at classical concerts,Audience at non-folk festivals,Sing in a religious group,Go to workshops / take private lessons,Other, please describe,5","Involved with a West Gallery Quire","I just organised a one-off event","No",NA,"I don't organise them, I help at them","Yes","Brought friends along to a Morris gig and they then stayed for the session afterwards and thoroughly enjoyed it","Yes","At events ensured wide and level access","You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a political message",NA,NA,NA,"Geographical,  personal friends","Environmental","Some songs that I hear I know will suit my voice. Some are performed as party pieces. Favourites of others around me. Good chorus songs for joining in. Songs which have struck a chord with me","No",NA,NA,NA,"Yes","Have felt unwelcome at events described as singarounds where the MC has only pointed to those who were known to them.",NA,NA,"Can't think of anything","Community events in theatres","Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Other, please describe","Don't know.","Yes","SO17 2HQ",NA,"British",NA,"Other Christian denomination, please describe","Methodist",NA,"Yes","Liberal Democrats",NA,"7","Volunteer","White UK","Female","Yes","Heterosexual/Straight",60,"61-80+"
"Respondent 780","Lead songs,Sing choruses","Folk clubs,Singarounds,Open mic nights",NA,"0","8","I come from a singing family. My father enjoyed folk music and sang it at home","Don't mind","Don't mind","Don't mind","Without a score / words","Respectful, supportive, collaborative","9","Somewhat important","Somewhat accepted","Other, please describe","In my 20's and 30's I met people who became lifelong friends.
Not so much now. But I don't go anywhere very regularly and I'm much older","Audience at rock/pop gigs,Audience at non-folk festivals,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,It is similar to songs other people sing at the events you attend,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place,The song's content connects you to a political message,The song's content connects you to a specific ethnic group,Other, please describe","The question is rather wooly.
Some songs have only one or two reasons listed some many more. Some it's just good to know them even if I don't perform them","Depends in the song. Some are local to me. Some about places I'll never visit but paint a word picture","Depends on the song. I enjoy women narratives especially having a dig at men. I like history of land and sea factory and farm. There's not only 1 topic i sing about","It's interesting to learn the history behind the song. To flesh out the time it's set, the social norms and political landscape. Also the different versions of some of the traditional ones","Again it depends on the song. Though most are socialist in leaning. The fair treatment for all songs.","I sing the songs that resonate with me.
The tune and lyrics must work. Social comment. 
Chorus is a bonus if people can join in.
I like to tell stories. Know about the context the time it's set in. How people were expected to behave. It's a portal into a time capsule.","Yes","Singer songwriter who I assume used his own  experiences. But had no concept of suitability. His song ""Blood on the rug"" was about loosing virginity but without the allegory or poetry that might have been more appropriate.","Yes","Well I avoided the singer where possible. He made me feel uncomfortable but he was also socially awkward so I assume unintended.","No",NA,NA,NA,"In my area there's more open mic and singround. Folk clubs tend to be run by and for the people who came up ( like me) in the 60's and 70's folk revival. So can seem stuffy and dull. One run by a young woman had some American folk but lots more folk type pop or Americana and blues. English folk song is seen as a bit wierd and nerdy. Not helped by the ground level being mostly that but without them the music would die.
I think it's family connections that are raising future folk performers.
Scottish and Irish music is respected more than English. Not sure why. Also it's very hard to say what exactly is a folk song. Look on ""tab"" app. It offers Ed Sheeran Elton John and Taylor Swift. Exposure to excellent groups delivering English folk music is limited.
",NA,"A level or equivalent (e.g., AS level; Highers; International Baccalaureate diploma; access to higher education diploma)",NA,"Other, please describe","I work for money so I'm working class. I have some middle class values from my parents aspirations. My income says I live in poverty. It's no longer  particularly easy to define","Yes","Yo25",NA,"Other, please describe","I was born in England . I have no strong allegiance to being British or English.","No religion",NA,NA,NA,"Other, please state","The one that ousts the Conservatives but not impressed with labour or the rest","4","Non-organiser","White UK","Female","No","Heterosexual/Straight",63,"61-80+"
"Respondent 781","Sing choruses","Concerts,Folk festivals,Other traditional community singing (like carol singing),Other, please describe","beer tent and morris weekend singing including on the coach. 
in the car.
rugby songs
as a teacher","1-2","0","parents are 60s folk revival so brought up with it.","Without a PA / microphone","From my seat / standing as part of a group","Don't mind","Without a score / words","a beer tent","3","Somewhat important","Not very accepted","Friendships,Short-term romantic relationships (like dating),Long-term relationships (like marriage, civil partnerships, co-habiting),Other, please describe","family
team mates","Audience at rock/pop gigs,Audience at non-folk festivals,Sing at sporting events,Other, please describe,5","school productions/events
parties
morris weekends","Over 20 years","Prefer not to say",NA,"I feel much less motivated nowadays.
I used to say for the tradition and enjoyment of others
but after 30 urs of organising it gets to you a bit when everyone else thinks they should get paid lots and I never have. feel like a mug.
also, I have a lot of festival experience and the folk festival model doesn't work as a business. it either needs to be funded or all those who tale part would need to do it for the enjoyment and not get paid in full.
folkies don't like paying for things.","Yes","put on a range of artists with folk mixed in.
advertise to genres/groups who might be interested e.g. WI, locals, live music fans.
word of mouth at work.

nothing really made a massive difference.","Yes","I work on streamed concerts.
feedback has been great from those with accessibility issues.","You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's content connects you to the past,The song's content connects you to a specific place,Other, please describe","rousing chorus that others can join in with.","whitby.
hearing/singing the song at a party, festival or am event with good memories.","the sea
humorous topics",NA,NA,"rousing chorus
words that I can remember
it's fun
","Yes","fox hunting and whaling #obvs
sexist songs, I mean properly sexist where a woman is stood on a chair and the singers points to her bits!!!
serious swearing.
strong political views that take the focus of the event away from singing/music/fun. e.g. vin garbutts anti abortion songs even though I found him hilarious at other times.

","No","I wouldn't sing those types of songs.
I wouldn't sing anything political even if i felt strongly about it. you dont know who's in the audience.
","Yes","as a child some people didn't like us being at events. (we werent running riot!)
there are what I call 'professional folkies' who think they know everything at music, song and dance events. even though I might have been involved 20 more years than them! I do t tell them my history but they think if I'm under 50 or wear normal clothes that I don't know anything. unpleasant. I'm not surprised some people are put off.
how the he'll do older people think that the tradition will continue if they don't welcome, embrace and hand over to young people? the oldies don't have to stop doing it. it's not 'theirs' though.","No",NA,"traditions die if they aren't allowed to change with the times and allow each generation to add or contribute. some people just do not realise that before the 60s it also changed.
you can see how rapper dancing is flourishing because of embracing change. 
even if folk clubs are on the decline it might not mean that folk singing is.just like tv watching habits have changes dramatically, more people than ever are consuming tv.
","the Morris Federation would probably share it on an email. there is great singing happens at morris events.","Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Other, please describe","working class values but unfortunately middle class now.","Yes","yo42",NA,"English",NA,"No religion",NA,NA,NA,"Labour Party",NA,"2","Volunteer","White UK","Female","No","Heterosexual/Straight",47,"41-60"
"Respondent 782","Sing choruses","Folk clubs,Concerts,Folk festivals",NA,"1-2","18","Just attracted to traditional music and ballads. Love the storytelling.
","Don't mind","From my seat / standing as part of a group","Don't mind","Don't mind","Small venue with good acoustics","8","Neutral","Very accepted","Friendships",NA,"Audience at rock/pop gigs,Audience at classical concerts,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place,The song's content connects you to a political message,The song's content connects you to a specific ethnic group",NA,"It depends on the song.","Historical or fantasy elements","Historical ballads","Left wing",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,"Postgraduate taught degree (e.g., MA, MSc, MEng; postgraduate certificate or diploma; PGCE)",NA,"Working class",NA,"Yes","So41",NA,"Other, please describe","American and British","Any other religion, please describe",NA,"And Wicca","Prefer not to say","Labour Party",NA,"10","Non-organiser","White Other","Female","No","Bisexual",61,"61-80+"
"Respondent 783","Sing choruses","Folk clubs,Concerts,Folk festivals,Other traditional community singing (like carol singing),Folk choir",NA,"3-5","50","I like to be part of an evolving but continuing tradition.","Without a PA / microphone","From my seat / standing as part of a group","Without instruments","With a score / words","In a group, in parts a capella.","9","Somewhat important","Very accepted","Friendships",NA,"Audience at classical concerts,Play in a classical group,Go to workshops / take private lessons,5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"You enjoy the melody,You enjoy the lyrics for their poetry,You like to sing about a particular topic,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience",NA,NA,"Love, often unrequited","Historical, perhaps local folklore.",NA,"Not really. They are the group's choice.","Don't know",NA,NA,NA,"No",NA,NA,NA,NA,NA,"Postgraduate research degree (e.g., PhD, DPhil)",NA,"Middle class",NA,"Yes","HX2",NA,"British",NA,"Church of England / Anglican",NA,NA,"No","Labour Party",NA,"7","Non-organiser","White UK","Female","No","Heterosexual/Straight",77,"61-80+"
"Respondent 784","Lead songs,Sing choruses","Folk clubs,Concerts,Open mic nights,Other traditional community singing (like carol singing),Folk choir",NA,"6-10","15","Always loved music and there was a strong emphasis on folk tunes in primary school music which carried on in to my secondary education.","Don't mind","Don't mind","A mixture","A mixture","Folk choir and in our local folk club","8","Not at all important","Very accepted","Friendships",NA,"Audience at rock/pop gigs,Audience at classical concerts,Audience at non-folk festivals,Sing in a classical choir,5",NA,"1 to 5 years","Yes, please describe","Classical choir concerts","Itâ€™s fun!","Yes","Inviting friends to attendâ€¦sometimes they do.","No",NA,"You enjoy the melody,You enjoy the lyrics for their poetry,The song's origin interests you,The song's content is important to preserve for future generations,The song's content connects with your personal experience,The song's content connects you to the past,The song's content connects you to a specific place",NA,"A local historic dockyard",NA,"Things which connect to local history",NA,"Choices are often not my ownâ€¦.I like a song which tells a story.","No",NA,NA,NA,"No",NA,"No",NA,"Iâ€™ve never found that there has been any problem re inclusionâ€¦.all are welcome.","No idea!","Undergraduate degree (e.g., BA, BSc, Certificate/diploma of higher education)",NA,"Working class",NA,"Yes","ME8",NA,"English",NA,"Church of England / Anglican",NA,NA,"Yes","Liberal Democrats",NA,"5","Volunteer","White UK","Female","Yes","Heterosexual/Straight",74,"61-80+"
